core1,core2,latency_ns_med,latency_ns_p90,latency_ns_p95
0,1,53,62,77
0,2,54,55,70
0,3,52,53,55
0,4,55,59,62
0,5,56,64,82
0,6,55,58,64
0,7,55,56,57
0,8,53,54,54
0,9,52,53,56
0,10,56,57,58
0,11,50,51,55
0,12,52,53,53
0,13,54,55,55
0,14,87,87,104
0,15,53,54,54
0,16,56,60,64
0,17,54,55,58
0,18,55,56,57
0,19,52,54,56
0,20,55,56,58
0,21,52,53,54
0,22,56,56,57
0,23,55,57,59
0,24,52,53,54
0,25,55,56,58
0,26,86,87,89
0,27,53,54,55
0,28,54,55,55
0,29,54,55,56
0,30,57,58,59
0,31,54,55,56
0,32,52,53,54
0,33,50,51,53
0,34,54,55,56
0,35,58,59,59
0,36,52,53,54
0,37,56,58,59
0,38,53,55,57
0,39,52,53,55
1,0,53,54,56
1,2,53,54,55
1,3,51,52,54
1,4,52,53,64
1,5,50,56,62
1,6,53,66,75
1,7,57,63,66
1,8,57,58,60
1,9,52,53,57
1,10,55,57,62
1,11,54,56,63
1,12,56,57,58
1,13,56,58,64
1,14,51,52,58
1,15,53,55,57
1,16,52,53,56
1,17,57,59,66
1,18,57,62,73
1,19,85,85,95
1,20,53,54,58
1,21,52,53,56
1,22,55,56,67
1,23,54,55,58
1,24,51,52,53
1,25,25,26,26
1,26,51,52,53
1,27,49,51,54
1,28,54,55,56
1,29,53,54,55
1,30,53,55,57
1,31,53,57,59
1,32,51,53,54
1,33,53,56,58
1,34,56,58,62
1,35,51,53,57
1,36,53,54,55
1,37,55,56,57
1,38,50,61,63
1,39,51,52,53
2,0,57,58,59
2,1,55,56,59
2,3,56,57,57
2,4,53,54,54
2,5,59,61,62
2,6,56,59,62
2,7,59,60,68
2,8,56,60,69
2,9,57,60,68
2,10,57,58,60
2,11,90,90,110
2,12,58,60,62
2,13,53,55,62
2,14,57,59,61
2,15,56,58,66
2,16,54,55,56
2,17,59,60,65
2,18,58,59,62
2,19,56,57,58
2,20,71,80,88
2,21,54,56,61
2,22,58,59,63
2,23,54,56,57
2,24,70,75,77
2,25,58,59,60
2,26,55,56,60
2,27,55,56,58
2,28,55,57,60
2,29,55,56,57
2,30,57,58,59
2,31,56,83,85
2,32,56,82,85
2,33,56,58,59
2,34,58,60,61
2,35,55,60,72
2,36,56,58,63
2,37,56,58,61
2,38,53,56,60
2,39,89,90,104
3,0,61,62,65
3,1,55,74,79
3,2,59,63,67
3,4,55,56,64
3,5,54,57,64
3,6,57,61,67
3,7,61,75,90
3,8,56,58,62
3,9,58,78,83
3,10,56,57,63
3,11,58,59,64
3,12,57,58,61
3,13,60,62,65
3,14,55,57,59
3,15,54,57,66
3,16,56,57,58
3,17,59,60,61
3,18,58,59,60
3,19,60,63,67
3,20,56,57,58
3,21,56,58,61
3,22,54,69,71
3,23,60,62,66
3,24,56,57,70
3,25,57,59,67
3,26,57,60,62
3,27,55,56,57
3,28,58,61,63
3,29,91,92,93
3,30,59,68,70
3,31,55,57,64
3,32,58,62,65
3,33,53,55,64
3,34,57,61,68
3,35,55,56,59
3,36,56,83,86
3,37,58,59,62
3,38,54,55,57
3,39,56,58,65
4,0,61,66,77
4,1,54,58,61
4,2,57,61,64
4,3,58,59,60
4,5,54,55,58
4,6,58,60,64
4,7,55,56,59
4,8,56,59,66
4,9,62,70,78
4,10,58,60,61
4,11,58,59,62
4,12,57,59,62
4,13,58,59,62
4,14,56,80,84
4,15,56,59,62
4,16,79,87,89
4,17,55,57,59
4,18,61,65,68
4,19,58,64,69
4,20,57,58,60
4,21,54,56,60
4,22,59,60,68
4,23,61,62,64
4,24,56,57,59
4,25,55,57,60
4,26,59,60,61
4,27,56,57,61
4,28,58,59,59
4,29,92,93,95
4,30,59,60,61
4,31,55,56,61
4,32,58,59,61
4,33,54,55,62
4,34,56,58,65
4,35,74,91,94
4,36,81,89,104
4,37,56,57,59
4,38,59,61,62
4,39,76,84,87
5,0,79,81,83
5,1,82,83,85
5,2,90,90,92
5,3,90,92,116
5,4,92,93,108
5,6,81,82,85
5,7,81,84,86
5,8,90,90,91
5,9,88,89,91
5,10,79,80,80
5,11,86,87,90
5,12,82,84,86
5,13,87,89,91
5,14,80,81,83
5,15,82,84,86
5,16,83,84,85
5,17,88,88,91
5,18,90,90,109
5,19,86,87,95
5,20,90,91,105
5,21,80,81,97
5,22,87,88,90
5,23,92,92,96
5,24,84,85,87
5,25,82,83,86
5,26,88,89,89
5,27,80,83,89
5,28,87,88,102
5,29,80,83,92
5,30,86,87,104
5,31,92,95,113
5,32,81,83,86
5,33,82,85,91
5,34,84,86,89
5,35,91,93,97
5,36,81,83,98
5,37,86,87,103
5,38,87,89,91
5,39,82,83,100
6,0,55,58,63
6,1,55,58,60
6,2,55,68,80
6,3,59,63,71
6,4,57,59,64
6,5,82,83,86
6,7,57,60,64
6,8,59,62,70
6,9,58,60,63
6,10,57,60,77
6,11,62,70,78
6,12,51,54,56
6,13,59,62,64
6,14,55,64,74
6,15,51,53,66
6,16,72,80,82
6,17,53,55,56
6,18,51,52,52
6,19,52,54,55
6,20,55,56,57
6,21,51,52,53
6,22,53,55,55
6,23,57,57,58
6,24,54,81,85
6,25,51,52,54
6,26,51,53,56
6,27,51,52,54
6,28,51,52,53
6,29,54,55,56
6,30,54,55,56
6,31,52,54,57
6,32,52,61,77
6,33,51,52,52
6,34,51,53,53
6,35,55,57,58
6,36,53,55,58
6,37,55,56,57
6,38,54,55,57
6,39,57,58,59
7,0,59,60,60
7,1,54,55,57
7,2,54,57,60
7,3,55,61,63
7,4,56,57,58
7,5,56,59,62
7,6,54,55,57
7,8,52,53,54
7,9,59,60,61
7,10,54,55,56
7,11,59,60,62
7,12,51,53,62
7,13,59,60,63
7,14,58,58,59
7,15,55,57,61
7,16,55,56,57
