core1,core2,latency_ns_med,latency_ns_p90,latency_ns_p95
0,1,104,107,111
0,2,111,116,139
0,3,114,119,141
0,4,115,117,140
0,5,112,116,135
0,6,110,112,117
0,7,108,111,128
0,8,112,115,133
0,9,116,119,140
0,10,107,110,128
0,11,105,107,110
0,12,110,112,131
0,13,110,111,133
0,14,112,115,139
0,15,103,108,127
0,16,118,121,143
0,17,118,120,141
0,18,114,117,140
0,19,123,127,150
0,20,115,117,132
0,21,109,112,128
0,22,115,117,138
0,23,115,118,139
0,24,112,116,137
0,25,121,125,150
0,26,112,118,143
0,27,108,113,134
0,28,115,119,137
0,29,105,110,130
0,30,116,120,141
0,31,108,111,130
0,32,111,113,132
0,33,105,107,116
0,34,110,113,133
0,35,106,114,133
0,36,100,106,126
0,37,100,102,120
0,38,110,113,132
0,39,113,117,142
1,0,111,117,138
1,2,105,107,126
1,3,120,126,147
1,4,108,111,135
1,5,108,111,134
1,6,122,127,149
1,7,118,121,145
1,8,119,123,146
1,9,119,122,143
1,10,118,120,142
1,11,112,115,140
1,12,118,121,144
1,13,112,115,138
1,14,115,117,143
1,15,118,121,145
1,16,123,126,149
1,17,122,127,151
1,18,120,123,148
1,19,117,120,139
1,20,103,108,125
1,21,114,118,138
1,22,111,115,133
1,23,123,126,149
1,24,113,117,136
1,25,123,126,147
1,26,108,111,129
1,27,105,109,112
1,28,117,120,142
1,29,114,117,138
1,30,120,124,145
1,31,122,125,150
1,32,118,122,145
1,33,114,117,141
1,34,118,120,141
1,35,113,117,140
1,36,104,109,126
1,37,113,117,139
1,38,110,114,137
1,39,107,111,131
2,0,105,109,125
2,1,113,115,139
2,3,105,111,128
2,4,107,110,126
2,5,103,107,129
2,6,108,111,130
2,7,115,119,142
2,8,99,100,102
2,9,113,115,138
2,10,113,116,140
2,11,106,109,130
2,12,109,112,134
2,13,119,121,145
2,14,107,110,131
2,15,109,114,129
2,16,104,108,124
2,17,114,115,141
2,18,115,117,137
2,19,120,122,144
2,20,106,107,131
2,21,104,108,126
2,22,107,111,128
2,23,113,117,136
2,24,117,121,141
2,25,120,123,148
2,26,115,118,141
2,27,105,108,118
2,28,99,102,112
2,29,102,105,109
2,30,116,119,140
2,31,119,122,143
2,32,116,119,141
2,33,114,116,138
2,34,104,108,127
2,35,115,118,137
2,36,115,118,141
2,37,112,116,140
2,38,121,125,148
2,39,109,111,131
3,0,121,123,145
3,1,117,120,145
3,2,121,124,143
3,4,115,118,137
3,5,116,119,138
3,6,115,118,141
3,7,124,128,151
3,8,110,114,136
3,9,118,120,141
3,10,118,122,145
3,11,115,118,142
3,12,118,119,140
3,13,125,129,154
3,14,118,125,145
3,15,118,121,144
3,16,112,115,139
3,17,117,122,146
3,18,122,125,153
3,19,117,120,145
3,20,122,125,150
3,21,119,122,147
3,22,123,125,151
3,23,120,123,149
3,24,118,123,153
3,25,124,126,152
3,26,121,124,148
3,27,114,117,142
3,28,113,116,138
3,29,111,114,139
3,30,119,121,145
3,31,125,128,155
3,32,125,129,153
3,33,118,121,146
3,34,120,123,148
3,35,115,120,142
3,36,119,122,146
3,37,117,120,144
3,38,127,131,157
3,39,112,115,140
4,0,107,109,122
4,1,105,108,127
4,2,107,110,129
4,3,118,119,143
4,5,113,116,141
4,6,106,109,123
4,7,115,117,137
4,8,101,104,112
4,9,119,122,149
4,10,111,113,131
4,11,98,102,120
4,12,105,108,131
4,13,119,121,140
4,14,109,113,132
4,15,24,25,25
4,16,117,119,142
4,17,112,115,136
4,18,117,120,142
4,19,109,112,130
4,20,106,107,129
4,21,107,111,120
4,22,106,110,127
4,23,117,119,145
4,24,116,120,141
4,25,111,114,135
4,26,119,122,144
4,27,118,121,144
4,28,116,119,139
4,29,107,112,135
4,30,109,116,132
4,31,116,122,133
4,32,123,128,150
4,33,118,122,151
4,34,111,113,139
4,35,113,116,138
4,36,110,112,137
4,37,113,117,135
4,38,117,122,144
4,39,108,111,129
5,0,109,112,135
5,1,105,108,128
5,2,107,110,130
5,3,115,118,137
5,4,113,117,135
5,6,106,109,131
5,7,115,117,139
5,8,103,106,125
5,9,118,123,146
5,10,101,105,123
5,11,108,111,131
5,12,120,123,143
5,13,119,134,148
5,14,113,117,134
5,15,110,112,133
5,16,121,125,160
5,17,114,118,136
5,18,109,112,136
5,19,109,111,133
5,20,118,120,144
5,21,109,113,130
5,22,103,106,127
5,23,113,116,138
5,24,112,115,135
5,25,110,112,134
5,26,113,116,135
5,27,112,116,137
5,28,98,99,115
5,29,114,117,137
5,30,116,121,145
5,31,117,119,137
5,32,118,121,140
5,33,109,112,134
5,34,108,110,129
5,35,115,118,140
5,36,107,110,133
5,37,107,110,131
5,38,111,113,136
5,39,110,115,139
6,0,109,112,131
6,1,106,110,131
6,2,106,109,127
6,3,99,102,117
6,4,106,111,133
6,5,105,108,125
6,7,107,111,127
6,8,103,108,130
6,9,115,119,139
6,10,111,114,137
6,11,114,118,141
6,12,115,121,140
6,13,108,111,132
6,14,107,111,131
6,15,110,113,136
6,16,108,111,134
6,17,110,113,134
6,18,102,108,125
6,19,109,112,130
6,20,113,118,138
6,21,103,106,125
6,22,102,106,126
6,23,108,112,132
6,24,102,106,126
6,25,107,114,133
6,26,110,113,134
6,27,113,115,137
6,28,111,114,138
6,29,99,102,119
6,30,108,110,115
6,31,105,108,131
6,32,118,127,144
6,33,107,111,132
6,34,105,108,119
6,35,111,115,132
6,36,117,120,140
6,37,105,108,123
6,38,105,107,129
6,39,108,112,134
7,0,111,115,136
7,1,98,101,122
7,2,105,105,110
7,3,110,113,131
7,4,113,116,132
7,5,103,105,126
7,6,101,105,123
7,8,97,102,111
7,9,106,109,132
7,10,111,114,135
7,11,103,107,123
7,12,103,107,116
7,13,103,108,123
7,14,109,113,130
7,15,111,115,137
7,16,105,109,124
7,17,101,105,123
7,18,100,102,118
7,19,103,107,123
7,20,108,111,130
7,21,108,111,133
7,22,98,101,105
7,23,105,108,133
7,24,103,107,131
7,25,104,107,126
7,26,111,114,134
7,27,105,108,133
7,28,108,110,118
7,29,108,111,132
7,30,105,107,112
7,31,105,109,124
7,32,111,114,132
7,33,103,106,110
7,34,109,112,132
7,35,111,114,135
7,36,104,106,108
7,37,105,110,124
7,38,111,114,134
7,39,106,110,130
8,0,111,115,136
8,1,101,103,123
8,2,96,98,116
8,3,103,105,112
8,4,101,103,108
8,5,100,103,119
8,6,96,100,117
8,7,93,96,114
8,9,103,110,125
8,10,108,112,128
8,11,106,109,128
8,12,99,105,124
8,13,98,102,119
8,14,99,101,105
8,15,108,113,127
8,16,103,107,112
8,17,106,115,126
8,18,97,101,109
8,19,104,108,124
8,20,103,106,111
8,21,95,99,104
8,22,96,99,104
8,23,111,114,134
8,24,99,104,121
8,25,106,109,111
8,26,113,117,121
8,27,106,109,111
8,28,112,114,115
8,29,115,117,119
8,30,106,110,111
8,31,100,102,104
8,32,108,111,113
8,33,103,107,109
8,34,114,116,118
8,35,112,115,116
8,36,103,106,107
8,37,110,112,114
8,38,110,112,115
8,39,106,109,112
9,0,109,111,115
9,1,112,115,117
9,2,120,121,123
9,3,98,100,120
9,4,107,110,128
9,5,109,112,130
9,6,116,120,141
9,7,103,106,122
9,8,107,111,128
9,10,118,120,144
9,11,98,100,121
9,12,24,25,25
9,13,116,119,139
9,14,114,115,138
9,15,112,115,136
9,16,108,110,114
9,17,105,110,130
9,18,105,109,114
9,19,113,115,137
9,20,112,114,135
9,21,111,112,127
9,22,104,107,128
9,23,107,110,130
